bus_id,depot_id,bus_number,registration_number,bus_type,status,data_source
B0272,D091,VAIKOM-BUS-02,MOCK-KL-91-002,ORDINARY,ACTIVE,MOCK
B0273,D091,VAIKOM-BUS-03,MOCK-KL-91-003,ORDINARY,ACTIVE,MOCK
B0274,D092,VELLANAD-BUS-01,MOCK-KL-92-001,ORDINARY,ACTIVE,MOCK
B0275,D092,VELLANAD-BUS-02,MOCK-KL-92-002,ORDINARY,ACTIVE,MOCK
B0276,D092,VELLANAD-BUS-03,MOCK-KL-92-003,ORDINARY,ACTIVE,MOCK
B0277,D093,VELLARAD-BUS-01,MOCK-KL-93-001,ORDINARY,ACTIVE,MOCK
B0278,D093,VELLARAD-BUS-02,MOCK-KL-93-002,ORDINARY,ACTIVE,MOCK
B0279,D093,VELLARAD-BUS-03,MOCK-KL-93-003,ORDINARY,ACTIVE,MOCK
B0280,D094,VENJARAM-BUS-01,MOCK-KL-94-001,ORDINARY,ACTIVE,MOCK
B0281,D094,VENJARAM-BUS-02,MOCK-KL-94-002,ORDINARY,ACTIVE,MOCK
B0282,D094,VENJARAM-BUS-03,MOCK-KL-94-003,ORDINARY,ACTIVE,MOCK
B0283,D095,VIKASBHA-BUS-01,MOCK-KL-95-001,ORDINARY,ACTIVE,MOCK
B0284,D095,VIKASBHA-BUS-02,MOCK-KL-95-002,ORDINARY,ACTIVE,MOCK
B0285,D095,VIKASBHA-BUS-03,MOCK-KL-95-003,ORDINARY,ACTIVE,MOCK
B0286,D096,VITHURA-BUS-01,MOCK-KL-96-001,ORDINARY,ACTIVE,MOCK
B0287,D096,VITHURA-BUS-02,MOCK-KL-96-002,ORDINARY,ACTIVE,MOCK
B0288,D096,VITHURA-BUS-03,MOCK-KL-96-003,ORDINARY,ACTIVE,MOCK
B0289,D097,VIZHINJA-BUS-01,MOCK-KL-97-001,ORDINARY,ACTIVE,MOCK
B0290,D097,VIZHINJA-BUS-02,MOCK-KL-97-002,ORDINARY,ACTIVE,MOCK
B0291,D097,VIZHINJA-BUS-03,MOCK-KL-97-003,ORDINARY,ACTIVE,MOCK
